Genre
Acid Jazz
Afrobeats
Afrobeats Hip-Hop
Afropop
Alt-Country
Alternative R&B
Alternative Rock
Ambient
Ambient New Age
American Folk
Anarcho-Punk
Anti-Folk
Arabic Pop
Art Pop
Avant-Garde
Bachata
Baroque
Bebop
Bhangra
Black Metal
Bluegrass
Blues
Boogie Woogie
Boom Bap
Bossa Nova
Bubblegum Pop
C-Pop
Celtic
Celtic Folk
Chamber Music
Chicago Blues
Chillwave
Classic Country
Classic Rock
Classical
Cloud Rap
Conscious Hip-Hop
Contemporary Classical
Contemporary Gospel
Contemporary R&B
Cool Jazz
Country
Country Pop
Country Rock
Cumbia
Dancehall
Death Metal
Delta Blues
Doom Metal
Dream Pop
Drill
Drone
Drum & Bass
Dub
Dubstep
East Coast Hip-Hop
Electric Blues
Electro
Electronic
Electropop
Emo
Experimental
Fado
Film Score
Flamenco
Folk
Folk Metal
Freak Folk
Free Jazz
Funk
Funk Rock
Fusion
Future Bass
Garage
Garage Rock
Glam Rock
Glitch
Go-Go
Gospel
Gospel Rap
Grime
Hard Bop
Hard Rock
Hardcore Punk
Hardstyle
Heavy Metal
Highlife
Hip-Hop
Honky Tonk
House
IDM
Indie Folk
Indie Pop
Indie Rock
J-Pop
Jazz
Jungle
K-Pop
Latin
Lo-Fi
Lo-Fi Hip-Hop
Lovers Rock
Mariachi
Meditation Music
Merengue
Metal
Metalcore
Minimalism
Modal Jazz
Motown
Musique Concrète
Native American
Neo-Soul
Neoclassical
New Age
New Jack Swing
Noise
Nordic Folk
Nu Jazz
Nu-Metal
Opera
Orchestral
Outlaw Country
P-Funk
Pop
Pop Punk
Post-Punk
Post-Rock
Power Metal
Progressive Rock
Psychedelic Rock
Punk
Punk Rock
Qawwali
Quiet Storm
R&B
Reggae
Reggaeton
Rhythm & Blues
Rock
Rocksteady
Romantic
Roots Reggae
Salsa
Samba
Ska
Ska Punk
Smooth Jazz
Soul
Soul Blues
Soundtrack
Southern Gospel
Southern Soul
Swing
Symphonic Metal
Synth-Pop
TV Soundtrack
Tango
Techno
Teen Pop
Thrash Metal
Traditional Gospel
Trance
Trap
Vaporwave
Video Game Music
West Coast Hip-Hop
World
Zouk
